input
band_gap=1.4932 spacegroup.number=137
band_gap=0.5931 spacegroup.number=62
band_gap=1.7072 spacegroup.number=165
band_gap=2.9480 spacegroup.number=225
band_gap=0.4572 spacegroup.number=51
band_gap=0.4572 spacegroup.number=172
band_gap=3.0277 spacegroup.number=152
band_gap=1.8770 spacegroup.number=207
band_gap=0.1237 spacegroup.number=59
band_gap=1.5582 spacegroup.number=118
band_gap=0.1322 spacegroup.number=160
band_gap=0.1290 spacegroup.number=96
band_gap=1.1321 spacegroup.number=216
band_gap=0.0000 spacegroup.number=180
band_gap=0.0000 spacegroup.number=113
band_gap=0.0000 spacegroup.number=62
band_gap=0.0000 spacegroup.number=186
band_gap=1.2346 spacegroup.number=52
band_gap=0.0000 spacegroup.number=12
band_gap=0.0000 spacegroup.number=39
band_gap=2.8667 spacegroup.number=130
band_gap=0.4691 spacegroup.number=131
band_gap=0.8849 spacegroup.number=113
band_gap=0.0000 spacegroup.number=101
band_gap=0.0175 spacegroup.number=113
band_gap=0.9464 spacegroup.number=184
band_gap=0.0000 spacegroup.number=81
band_gap=1.3217 spacegroup.number=187
band_gap=0.0000 spacegroup.number=113
band_gap=0.3757 spacegroup.number=2
band_gap=0.0000 spacegroup.number=130
band_gap=3.4147 spacegroup.number=220
band_gap=0.7700 spacegroup.number=54
band_gap=0.0000 spacegroup.number=87
band_gap=1.9551 spacegroup.number=229
band_gap=0.0000 spacegroup.number=224
band_gap=1.0852 spacegroup.number=225
band_gap=0.0000 spacegroup.number=129
band_gap=0.0000 spacegroup.number=147
band_gap=1.0682 spacegroup.number=126
band_gap=1.8359 spacegroup.number=130
band_gap=1.0321 spacegroup.number=53
band_gap=0.6252 spacegroup.number=172
band_gap=0.3623 spacegroup.number=218
band_gap=0.0000 spacegroup.number=160
band_gap=0.0000 spacegroup.number=198
band_gap=0.1362 spacegroup.number=160
band_gap=2.2876 spacegroup.number=68
band_gap=1.2762 spacegroup.number=183
band_gap=0.0000 spacegroup.number=203
band_gap=1.2485 spacegroup.number=184
band_gap=0.2433 spacegroup.number=123
band_gap=0.0000 spacegroup.number=145
band_gap=1.6562 spacegroup.number=38
band_gap=2.2506 spacegroup.number=24
band_gap=2.1092 spacegroup.number=69
band_gap=0.0000 spacegroup.number=116
band_gap=0.3508 spacegroup.number=98
band_gap=1.2587 spacegroup.number=198
band_gap=2.1720 spacegroup.number=214
band_gap=0.1099 spacegroup.number=139
band_gap=0.5260 spacegroup.number=144
band_gap=0.0000 spacegroup.number=97
band_gap=0.0000 spacegroup.number=201
band_gap=1.9409 spacegroup.number=124
band_gap=2.7116 spacegroup.number=187
band_gap=0.6871 spacegroup.number=70
band_gap=2.2116 spacegroup.number=208
band_gap=1.3018 spacegroup.number=93
band_gap=0.0000 spacegroup.number=3
band_gap=1.3014 spacegroup.number=148
band_gap=2.9693 spacegroup.number=187
band_gap=0.7384 spacegroup.number=164
band_gap=3.0070 spacegroup.number=147
band_gap=0.0000 spacegroup.number=90
band_gap=1.9542 spacegroup.number=195
band_gap=0.9125 spacegroup.number=147
band_gap=0.3653 spacegroup.number=148
band_gap=0.9192 spacegroup.number=96
band_gap=0.0000 spacegroup.number=199
band_gap=0.4778 spacegroup.number=52
band_gap=1.2953 spacegroup.number=161
band_gap=2.8841 spacegroup.number=168
band_gap=0.0545 spacegroup.number=128
band_gap=0.0000 spacegroup.number=39
band_gap=0.0779 spacegroup.number=82
band_gap=2.0867 spacegroup.number=104
band_gap=1.2551 spacegroup.number=129
band_gap=0.0382 spacegroup.number=11
band_gap=1.5167 spacegroup.number=220
band_gap=0.9267 spacegroup.number=185
band_gap=2.1622 spacegroup.number=217
band_gap=0.0000 spacegroup.number=178
band_gap=0.3247 spacegroup.number=151
band_gap=0.2333 spacegroup.number=159
band_gap=0.0000 spacegroup.number=222
band_gap=1.2089 spacegroup.number=42
band_gap=1.1592 spacegroup.number=99
band_gap=0.7964 spacegroup.number=7
band_gap=0.4566 spacegroup.number=144
